"dataelement","period","orgunit","categoryoptioncombo","value","storedby","timestamp","comment","followup"
"cI3OTahNbFi","2011","OkZBz01DBlo","P3p47Zcxn1C",3944,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","GAdg2UMpyps","P3p47Zcxn1C",5218,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","oRjwr4iI1d8","P3p47Zcxn1C",8056,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","eTOkkJ9UesQ","P3p47Zcxn1C",4411,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","vDcJoRGLRNB","P3p47Zcxn1C",7724,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","OXWFxGri6Zz","P3p47Zcxn1C",3602,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","wgsTCuw9PL4","P3p47Zcxn1C",7602,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","PViCfFyd7Sr","P3p47Zcxn1C",5268,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","d84MAcQPg9k","P3p47Zcxn1C",3953,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","eLnbP8yLbnm","P3p47Zcxn1C",4548,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","AHt6sAJvjha","P3p47Zcxn1C",1084,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","KICgaQyIZXH","P3p47Zcxn1C",1303,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","GPSd09KO8Cr","P3p47Zcxn1C",2519,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","g4QutVoZne2","P3p47Zcxn1C",3268,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","lfoAqumoQFV","P3p47Zcxn1C",4160,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","d6Cvm7a4PRJ","P3p47Zcxn1C",8629,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","HD7X89hhQw3","P3p47Zcxn1C",6540,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","eVOLCYIWwMS","P3p47Zcxn1C",3782,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","lCpkeIdp3Al","P3p47Zcxn1C",4039,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","Wi2Jueks3V8","P3p47Zcxn1C",3471,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","yNIhP8EEitr","P3p47Zcxn1C",4663,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","lvSwY35anCM","P3p47Zcxn1C",4208,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","gyL7AeHrB7h","P3p47Zcxn1C",1395,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","qfCrzqGbYvm","P3p47Zcxn1C",8273,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","ZniwvE7O1Fg","P3p47Zcxn1C",4936,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","lgR3fCIdHxV","P3p47Zcxn1C",2324,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","ONSBXG1HD4J","P3p47Zcxn1C",9466,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","eSNzZE3I2ia","P3p47Zcxn1C",2545,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","h13gwG3Zp6e","P3p47Zcxn1C",7659,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","NxiC0DQYqx7","P3p47Zcxn1C",2201,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","TjwpJv1wgF6","P3p47Zcxn1C",3154,"admin","2013-01-30T07:27:01+0000","Import from R","false"
